ID	OldID	Name	Chebi	Compartment	Formula
M_2hb		2-Hydroxybutyrate	CHEBI:1148	c | e	C4H7O3
M_2hglut		(S)-2-hydroxyglutarate(2-)	CHEBI:380;CHEBI:32797	c | e | m	C5H6O5
M_2hyoxplac		2-Hydroxyphenylacetate	CHEBI:28478	c | e	C8H7O3
M_2kmb		2-keto-4-methylthiobutyrate	CHEBI:33574	c | m	C5H7O3S
M_2mb2coa		tiglyl-CoA(4-)	CHEBI:15478;CHEBI:1204	c | m	C26H38N7O17P3S
M_2mbcoa		2-Methylbutanoyl-CoA(4-)	CHEBI:1201;CHEBI:15477	c | m	C26H40N7O17P3S
M_2mop		2-Methyl-3-oxopropanoate	CHEBI:16256	m	C4H5O3
M_2mp2coa		2-Methylprop-2-enoyl-CoA(4-)	CHEBI:1208;CHEBI:27754	c | m	C25H36N7O17P3S | C25H40N7O17P3S
M_2obut		2-Oxobutanoate	CHEBI:30831	c | m	C4H5O3
M_2oxoadp		2-Oxoadipate(2-)	CHEBI:15753	c | m	C6H6O5
M_2pg		D-Glycerate 2-phosphate(3-)	CHEBI:17835	c | m	C3H4O7P
M_2pglyc		2-Phosphoglycolate(3-)	CHEBI:17150;CHEBI:11652;CHEBI:19764	c	C2H2O6P
M_2thexd		trans-hexadec-2-enal	CHEBI:19791;CHEBI:17585	c	C16H30O
M_34dhmald		3,4-Dihydroxymandelaldehyde	CHEBI:1382;CHEBI:27852;CHEBI:19883	c	C8H8O4
M_34dhoxpeg		3,4-Dihydroxyphenylethyleneglycol	CHEBI:1387	c | e	C8H10O4
M_34dhpac		3,4-dihydroxyphenylacetaldehyde	CHEBI:27978	c	C8H8O3
M_34dhpha		3,4-dihydroxyphenylacetate	CHEBI:41941	c	C8H7O4
M_34dhphe		3,4-Dihydroxy-L-phenylalanine	CHEBI:15765	c | e	C9H11NO4
M_34hpl		3-(4-Hydroxyphenyl)lactate	CHEBI:17385	c | m	C9H9O4
M_34hpp		3-(4-Hydroxyphenyl)pyruvate	CHEBI:15999;CHEBI:20426	c | m | n	C9H7O4
M_35cgmp		3,5-Cyclic GMP	CHEBI:16356	c | e | m | n	C10H11N5O7P
M_35diotyr		3,5-Diiodo-L-tyrosine	CHEBI:15768	c	C9H9I2NO3
M_3aib__D	M_3aib_D	(R)-3-aminoisobutyric acid	CHEBI:16320	c | e | m	C4H9NO2
M_3aib		L-3-Amino-isobutanoate	CHEBI:16320	c | e | m	C4H8NO2
M_3aOHd7da		3alpha-OH-(25S)-delta(7)-dafachronic acid	CHEBI:83149	c	C27H44O3
M_3dhguln		3-Dehydro-L-gulonate	CHEBI:11777;CHEBI:16142	c	C6H9O7
M_3dmub		3-demethylubiquinol-9	CHEBI:84423	m	
M_3dpminol		3-diphospho-1D-myo-inositol (1,2,4,5,6)pentakisphosphate(13-)	CHEBI:62922	c | n	C6H6O27P7
M_3dsphgn		3-Dehydrosphinganine	CHEBI:17862	c	C18H38NO2
M_3hanthrn		3-Hydroxyanthranilate	CHEBI:15793	c	C7H6NO3
M_3hbcoa		(S)-3-Hydroxybutanoyl-CoA(4-)	CHEBI:394;CHEBI:15453	c | m	C25H38N7O18P3S
M_3hbcoa_R		(R)-3-hydroxybutanoyl-CoA(4-)	CHEBI:15452;CHEBI:323	c | m	C25H38N7O18P3S
M_3hibutcoa		(S)-3-Hydroxyisobutyryl-CoA(4-)	CHEBI:28259;CHEBI:399	c | m | n	C25H38N7O18P3S
M_3hivcoa		3-hydroxyisovaleryl-CoA(4-)	CHEBI:28291	c | m	C26H40N7O18P3S
M_3hmbcoa		(S)-3-Hydroxy-2-methylbutyryl-CoA(4-)	CHEBI:15449;CHEBI:191	c | m	C26H40N7O18P3S
M_3hmp		3-Hydroxy-2-methylpropanoate	CHEBI:18064;CHEBI:11805	c | m | n	C4H7O3
M_3hpcoa		3-Hydroxypropionyl-CoA(4-)	CHEBI:27762	c | m | n	C24H36N7O18P3S
M_3hpp		3-Hydroxypropanoate	CHEBI:33404	c | m | n	C3H5O3
M_3htmelys		3-Hydroxy-N6,N6,N6-trimethyl-L-lysine	CHEBI:15786	c | m | n	C9H21N2O3
M_3mb2coa		3-Methylbut-2-enoyl-CoA(4-)	CHEBI:15486	c | m	C26H38N7O17P3S
M_3mgcoa		3-Methylglutaconyl-CoA(5-)	CHEBI:15488	c | m	C27H37N7O19P3S
M_3mlda		3-Methylimidazoleacetate	CHEBI:1606	c | e	C6H7N2O2
M_3mob		3-Methyl-2-oxobutanoate	CHEBI:16530	c | m	C5H7O3
M_3mop		(S)-3-Methyl-2-oxopentanoate	CHEBI:15614	c | m	C6H9O3
M_3npdhb		3-nonaprenyl-4,5-dihydroxybenzoate	CHEBI:62788	m	C52H77O4
M_3npdhb_me		3-nonaprenyl-4-hydroxy-5-methoxybenzoate	CHEBI:62790	m	C53H79O4
M_3nphb		3-Nonaprenyl-4-hydroxybenzoate	CHEBI:84501	m	C52H77O3
M_3padsel		3-Phosphoadenylylselenate(4-)	CHEBI:28450	c	C10H11N5O13P2Se
M_3pg		3-Phospho-D-glycerate(3-)	CHEBI:17794	c | m	C3H4O7P
M_3php		3-Phosphohydroxypyruvate(3-)	CHEBI:1661;CHEBI:30933	c	C3H2O7P
M_3sala		3-Sulfino-L-alanine	CHEBI:16345	c | m	C3H6NO4S
M_3snpyr		3-Sulfinopyruvate(2-)	CHEBI:1665	c | m	C3H2O5S
M_3spyr		3-Sulfopyruvate(2-)	CHEBI:16894;CHEBI:45736	m	C3H2O6S
M_3uib		3-Ureidoisobutyrate	CHEBI:1670	c	C5H9N2O3
M_4aabutn		4-Acetamidobutanoate	CHEBI:17645	c | m	C6H10NO3
M_4abut		4-Aminobutanoate	CHEBI:16865	c | e | m	C4H9NO2
M_4abz		p-aminobenzoate	CHEBI:30753;CHEBI:44778	c | e	C7H6NO2
M_4aphdob		4-(2-Aminophenyl)-2,4-dioxobutanoate	CHEBI:17442	c	C10H8NO4
M_4cmcoa		4-Coumaroyl-CoA(4-)	CHEBI:15499	c | m	C30H38N7O18P3S
M_4fumacac		4-Fumarylacetoacetate(2-)	CHEBI:47904;CHEBI:30907	c	C8H6O6
M_4h2oglt		4-Hydroxy-2-oxoglutarate(2-)	CHEBI:30923	c | m	C5H4O6 | C5H6O6
M_4hbz		4-Hydroxybenzoate	CHEBI:30763	c | m	C7H5O3
M_4hbzcoa		4-hydroxybenzoyl-CoA(4-)	CHEBI:40998;CHEBI:1859;CHEBI:15500	m	C28H36N7O18P3S
M_4hglusa		L-4-Hydroxyglutamate semialdehyde	CHEBI:27809	c | m	C5H9NO4
M_4hoxpacd		4-Hydroxyphenylacetaldehyde	CHEBI:15621	c	C8H8O2
M_4hphac		4-Hydroxyphenylacetate	CHEBI:18101;CHEBI:12014	c | e	C8H7O3
M_4hpro_LT		4-hydroxy-L-proline | trans-4-Hydroxy-L-proline	CHEBI:18240;CHEBI:63727 | CHEBI:58375;CHEBI:18095	c | m	C5H9NO3
M_4izp		4-Imidazolone-5-propanoate	CHEBI:27384	c	C6H7N2O3
M_4mlacac		4-Maleylacetoacetate(2-)	CHEBI:47904	c | n	C8H6O6
M_4mop		4-Methyl-2-oxopentanoate	CHEBI:48430	c | m	C6H9O3
M_4ogm		4-oxoglutaramate	CHEBI:30883	c	C5H6NO4
M_4ppan		(R)-4'-phosphonatopantothenate(3-)	CHEBI:15905	c	C9H15NO8P
M_4ppcys		N-((R)-4-Phosphopantothenoyl)-L-cysteine(3-)	CHEBI:15769	c	C12H20N2O9PS
M_4tmeabut		4-Trimethylammoniobutanal	CHEBI:1940;CHEBI:18020	c	C7H16NO
M_4tmeabutn		4-Trimethylammoniobutanoate	CHEBI:16244	c	C7H15NO2
M_56dthm		5,6-Dihydrothymine	CHEBI:27468	c	C5H8N2O2
M_56dura		5,6-dihydrouracil	CHEBI:15901	c	C4H6N2O2
M_5adtststerone		5alpha-Dihydrotestosterone	CHEBI:16330;CHEBI:41876	c | e	C19H30O2
M_5aizc		5-amino-1-(5-phosphonato-D-ribosyl)imidazole-4-carboxylate(3-)	CHEBI:28413	c	C9H11N3O9P
M_5dpmev		(R)-5-diphosphonatomevalonate(4-)	CHEBI:15899	c	C6H10O10P2
M_5g2oxpt		2-Oxoarginine	CHEBI:28116	c	C6H11N3O3
M_5HETE		5-Hydroxyeicosatetraenoate	CHEBI:28209	c	C20H31O3
M_5hoxindact		5-Hydroxyindoleacetaldehyde	CHEBI:50157	c	C10H9NO2
M_5hoxindoa		5-Hydroxyindoleacetate	CHEBI:27823	c | e	C10H8NO3
M_5HPET		5-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoate	CHEBI:15632	c	C20H31O4
M_5htrp		5-Hydroxy-L-tryptophan	CHEBI:28171	c | e	C11H12N2O3
M_5mdr1p		S-methyl-5-thio-D-ribose 1-phosphate(2-)	CHEBI:27859	c	C6H11O7PS
M_5mdru1p		S-methyl-5-thio-D-ribulose 1-phosphate(2-)	CHEBI:28096	c	C6H11O7PS
M_5mta		5-Methylthioadenosine	CHEBI:17509	c	C11H15N5O3S
M_5mthf		5-Methyltetrahydrofolate(2-)	CHEBI:15641	c | e | m | n	C20H23N7O6
M_5oxpro		5-Oxoproline	CHEBI:16010	c	C5H6NO3
M_5pmev		(R)-5-phosphonatomevalonate(3-)	CHEBI:17436	c	C6H10O7P
M_5thf		pentaglutamyl folate (6-)	CHEBI:140748	c | m	C39H41N11O18
M_6bppoldm		1,5-bisdiphosphoinositol-1D-myo-inositol (2,3,4,6)tetrakisphosphate(13-)	CHEBI:77983;CHEBI:62923	c | n	C6H7O30P8
